               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.01616,            0.028462,           0.0021105,             0.98074,              0.9519,             0.95651,              0.8331,             0.01165,            0.017344,           0.0027264,            0.003862,            0.003862,            0.003862
                  64,            0.015888,             0.02873,           0.0021558,             0.97658,             0.95194,             0.95544,             0.84329,            0.011358,            0.017518,           0.0026637,            0.003763,            0.003763,            0.003763
                  65,             0.01599,            0.029387,           0.0019296,             0.98223,             0.93527,             0.95269,             0.82841,            0.012289,            0.018451,           0.0026883,            0.003664,            0.003664,            0.003664
                  66,            0.015888,            0.027483,           0.0023151,             0.96561,             0.95191,              0.9537,             0.84079,            0.011704,            0.018197,           0.0028095,            0.003565,            0.003565,            0.003565
                  67,            0.015463,            0.027985,           0.0019455,               0.969,             0.95194,             0.95482,             0.84537,              0.0113,            0.018022,           0.0033254,            0.003466,            0.003466,            0.003466
                  68,            0.014824,            0.027217,           0.0021553,             0.96731,             0.95194,             0.95313,             0.84532,            0.011643,            0.018488,            0.003397,            0.003367,            0.003367,            0.003367
                  69,            0.014828,            0.026887,           0.0020655,             0.96608,             0.95194,             0.95063,             0.83073,            0.011662,            0.018687,           0.0034022,            0.003268,            0.003268,            0.003268
                  70,            0.015464,            0.028523,            0.002066,             0.96194,             0.95194,             0.95233,             0.83419,            0.011643,            0.019522,            0.003601,            0.003169,            0.003169,            0.003169
                  71,             0.01419,            0.025595,           0.0019045,             0.96436,             0.90015,             0.94135,             0.82998,            0.011378,            0.018603,           0.0045252,             0.00307,             0.00307,             0.00307
                  72,            0.013932,            0.027376,           0.0018774,             0.94605,             0.95194,             0.95253,             0.83881,            0.011476,            0.018618,           0.0034096,            0.002971,            0.002971,            0.002971
                  73,            0.014055,            0.026997,           0.0021293,              0.9676,             0.95187,             0.95215,             0.83663,            0.011148,            0.018568,           0.0030849,            0.002872,            0.002872,            0.002872
                  74,            0.013673,            0.026219,           0.0019558,             0.96954,             0.95194,             0.95033,             0.83425,            0.011298,            0.019497,           0.0032504,            0.002773,            0.002773,            0.002773
                  75,            0.013655,            0.026252,           0.0019766,              0.9692,             0.95194,             0.95106,             0.84446,            0.010907,            0.019223,           0.0029107,            0.002674,            0.002674,            0.002674
                  76,            0.013996,            0.026383,           0.0018765,             0.97668,              0.9488,             0.95008,             0.84292,            0.010664,            0.018503,           0.0027173,            0.002575,            0.002575,            0.002575
                  77,            0.013542,            0.026812,           0.0018075,             0.97664,             0.94638,             0.95054,             0.84644,            0.010626,            0.018456,           0.0027467,            0.002476,            0.002476,            0.002476
                  78,            0.012956,            0.025113,           0.0016495,             0.96612,             0.95193,             0.95306,             0.84865,            0.010655,              0.0186,           0.0030817,            0.002377,            0.002377,            0.002377
                  79,            0.013077,            0.025525,           0.0017753,             0.97677,              0.9475,             0.95086,              0.8546,            0.010146,            0.017225,           0.0026635,            0.002278,            0.002278,            0.002278
                  80,            0.012564,             0.02425,           0.0016262,             0.97608,             0.95192,             0.95399,             0.84964,             0.01054,            0.017757,           0.0025818,            0.002179,            0.002179,            0.002179
                  81,            0.012694,             0.02586,           0.0019218,             0.97702,             0.94758,             0.95301,              0.8534,            0.010156,            0.017305,           0.0025537,             0.00208,             0.00208,             0.00208
                  82,            0.012309,            0.024834,           0.0017302,             0.97813,             0.94513,              0.9544,             0.84955,            0.010059,            0.017887,           0.0025454,            0.001981,            0.001981,            0.001981
                  83,              0.0122,            0.025056,           0.0016915,              0.9776,             0.95194,             0.95472,             0.85684,            0.010153,            0.017582,           0.0025224,            0.001882,            0.001882,            0.001882
                  84,             0.01203,            0.024214,           0.0015433,             0.97538,             0.95186,             0.95576,             0.84718,            0.010201,            0.017908,           0.0025465,            0.001783,            0.001783,            0.001783
                  85,            0.012123,            0.024425,           0.0017385,             0.97198,             0.95194,             0.95624,             0.85265,           0.0099195,            0.017857,           0.0027014,            0.001684,            0.001684,            0.001684
                  86,            0.011726,            0.023752,             0.00168,             0.97794,             0.94637,             0.95822,             0.86718,            0.010178,            0.017825,           0.0026148,            0.001585,            0.001585,            0.001585
                  87,            0.011978,            0.025151,           0.0018658,             0.96928,             0.95194,             0.95675,             0.86216,            0.010096,            0.018031,           0.0027816,            0.001486,            0.001486,            0.001486
                  88,            0.011633,            0.024351,           0.0017072,             0.96931,             0.95188,             0.95817,              0.8692,            0.010008,            0.017644,           0.0027993,            0.001387,            0.001387,            0.001387
                  89,            0.011657,            0.024957,           0.0015184,             0.97725,             0.95018,             0.95619,             0.86179,           0.0099335,            0.017755,           0.0026463,            0.001288,            0.001288,            0.001288
                  90,            0.011228,             0.02215,           0.0013614,             0.97956,              0.9519,             0.95536,             0.86788,            0.010043,            0.017967,            0.002588,            0.001189,            0.001189,            0.001189
                  91,            0.011346,            0.024322,           0.0017732,             0.98099,             0.95191,             0.95578,             0.86933,           0.0099196,              0.0175,           0.0025532,             0.00109,             0.00109,             0.00109
                  92,            0.011547,            0.025302,           0.0015138,              0.9794,             0.95194,             0.95532,             0.86989,            0.009824,            0.017607,            0.002556,            0.000991,            0.000991,            0.000991
                  93,            0.011129,            0.022476,           0.0015071,             0.97683,             0.95194,              0.9551,             0.87234,           0.0098318,            0.017707,           0.0025935,            0.000892,            0.000892,            0.000892
                  94,            0.011611,            0.025293,           0.0016946,             0.97023,             0.95192,             0.95545,             0.87491,           0.0098823,            0.018307,           0.0026299,            0.000793,            0.000793,            0.000793
                  95,            0.011459,            0.024193,           0.0014673,             0.97729,             0.94731,             0.95826,               0.875,           0.0097846,            0.017983,            0.002654,            0.000694,            0.000694,            0.000694
                  96,            0.011086,            0.024508,           0.0015173,             0.97073,             0.95191,             0.95748,             0.87367,           0.0098525,               0.018,           0.0026798,            0.000595,            0.000595,            0.000595
                  97,            0.011077,            0.022988,           0.0017207,             0.97711,             0.95029,             0.95743,             0.87433,           0.0097848,            0.017851,            0.002661,            0.000496,            0.000496,            0.000496
                  98,            0.011134,            0.023312,           0.0013968,             0.97766,             0.95191,             0.95688,             0.87237,           0.0097759,            0.017621,           0.0026308,            0.000397,            0.000397,            0.000397
                  99,            0.011422,            0.024337,           0.0017886,             0.97821,              0.9519,             0.95645,             0.87497,           0.0097495,            0.017783,           0.0026124,            0.000298,            0.000298,            0.000298
