               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.020881,            0.019243,           0.0012082,             0.98925,             0.98039,             0.98144,             0.79506,            0.016828,            0.014397,           0.0010532,            0.003796,            0.003796,            0.003796
                  96,             0.02268,            0.020515,           0.0011553,             0.97974,             0.98039,             0.98116,             0.68793,            0.021425,            0.014718,            0.001042,             0.00373,             0.00373,             0.00373
                  97,            0.023961,            0.019224,           0.0012179,              0.9889,             0.98039,             0.98292,              0.7558,            0.020264,            0.014851,          0.00098889,            0.003664,            0.003664,            0.003664
                  98,            0.023237,            0.020657,          0.00095687,             0.97879,             0.98039,             0.98063,             0.68519,            0.021585,             0.01504,          0.00099929,            0.003598,            0.003598,            0.003598
                  99,            0.021147,            0.020666,           0.0010169,             0.97885,             0.98039,             0.98065,              0.8006,            0.016805,            0.014408,          0.00096682,            0.003532,            0.003532,            0.003532
                 100,            0.020373,            0.020333,           0.0011487,              0.9886,             0.98039,             0.98292,             0.76435,            0.018224,            0.014703,          0.00094498,            0.003466,            0.003466,            0.003466
                 101,            0.021769,            0.022326,           0.0011199,             0.98842,             0.98039,             0.98527,             0.74009,            0.021416,            0.015233,          0.00091428,              0.0034,              0.0034,              0.0034
                 102,            0.020826,            0.020991,           0.0010805,             0.98864,             0.98039,             0.98259,             0.75759,            0.020759,            0.015137,          0.00088223,            0.003334,            0.003334,            0.003334
                 103,            0.022318,            0.018898,           0.0010021,             0.98782,             0.98039,             0.98354,             0.73146,            0.020658,            0.014681,          0.00084776,            0.003268,            0.003268,            0.003268
                 104,            0.024226,            0.020511,          0.00093986,             0.98625,             0.98039,             0.98615,             0.75278,            0.020142,             0.01523,          0.00087547,            0.003202,            0.003202,            0.003202
                 105,            0.024573,            0.021526,           0.0010378,              0.9865,             0.98039,             0.98066,             0.69909,            0.023217,             0.01472,          0.00085089,            0.003136,            0.003136,            0.003136
                 106,            0.023265,            0.019787,            0.000992,             0.98606,             0.98041,               0.987,             0.74437,            0.020568,            0.014713,          0.00088137,             0.00307,             0.00307,             0.00307
                 107,            0.020302,            0.018703,          0.00090861,             0.98717,             0.98039,             0.98408,             0.78518,            0.016997,            0.013836,          0.00088249,            0.003004,            0.003004,            0.003004
